date,extraction #,sp,sample_code,tissue,vial wt (g) ,sample wt (mg),end wt (g),net wt (marc) (mg),extract wt (mg),
4/27/2018,137,glabrescens,#1,ripe seed,1.5227,50.07,1.5633,40.6,9.47,
4/27/2018,138,glabrescens,#1b ,ripe seed,1.51,49.34,1.5506,40.6,8.74,
4/27/2018,139,glabrescens,#2 11/6/09,ripe seed,1.5159,51.06,1.5484,32.5,18.56,
12/21/2017,36,glabrescens,#1b ,unripe,13.41902,50.28,13.44407,25.05,25.23,
12/21/2017,37,glabrescens,#1,unripe,13.43036,51.37,13.45716,26.8,24.57,
12/21/2017,38,glabrescens,#2 11/6/09,unripe,13.39647,50.87,13.41811,21.64,29.23,
12/21/2017,44,hispidum,#2 22/11/09,ripe,13.34591,37.48,13.36992,24.01,13.47,
12/21/2017,42,hispidum,#2 22/11/09,unripe,13.35914,50.8,13.36982,10.68,40.12,
12/21/2017,43,hispidum,#5 22/11/09,unripe,13.34947,51.16,13.35959,10.12,41.04,
1/9/2018,116,multiplinervium,#7 30/9/09,leaf,0.46521,48.92,0.48106,15.85,33.07,
1/9/2018,117,multiplinervium,#8 30/9/09,leaf,0.43295,50.95,0.45222,19.27,31.68,
1/9/2018,118,multiplinervium,#9 30/9/09,leaf,0.48615,50.55,0.50105,14.9,35.65,
12/21/2017,48,multiplinervium,#7 30/9/09,ripe,13.42058,49.51,13.45309,32.51,17,
12/21/2017,49,multiplinervium,#8 30/9/09,ripe,13.45256,49.74,13.47179,19.23,30.51,
12/21/2017,50,multiplinervium,#9 30/9/09,ripe,13.48044,49.15,13.50394,23.5,25.65,
4/27/2018,140,multiplinervium,#7 30/9/09,ripe seed,1.5044,48.97,1.5418,37.4,11.57,
4/27/2018,141,multiplinervium,#8 30/9/09,ripe seed,1.5161,49.51,1.5578,41.7,7.81,
4/27/2018,142,multiplinervium,#9 30/9/09,ripe seed,1.5231,44.85,1.5627,39.6,5.25,
12/21/2017,45,multiplinervium,#7 30/9/09,unripe,13.41699,50.83,13.43199,15,35.83,
12/21/2017,46,multiplinervium,#8 30/9/09,unripe,13.32509,51.12,13.34265,17.56,33.56,
12/21/2017,47,multiplinervium,#9 30/9/09,unripe,13.33031,50.21,13.34692,16.61,33.6,
1/9/2018,119,peltatum,#3b,leaf,0.35957,51.31,0.37575,16.18,35.13,
1/9/2018,120,peltatum,#6 no date,leaf,0.35397,49.68,0.36794,13.97,35.71,
1/9/2018,121,peltatum,#9 20/6/09,leaf,0.43399,51,0.45044,16.45,34.55,
1/4/2018,55,peltatum,#3b,ripe,0.44618,51.03,0.48231,36.13,14.9,
1/4/2018,56,peltatum,#6 no date,ripe,0.30367,49,0.34215,38.48,10.52,
1/4/2018,57,peltatum,#9 20/6/09,ripe,0.40924,26.76,0.43042,21.18,5.58,
4/27/2018,143,peltatum,#3b,ripe seed,1.5035,50.76,1.5464,42.9,7.86,
4/27/2018,144,peltatum,#6 no date,ripe seed,1.5179,50.09,1.5588,40.9,9.19,
4/27/2018,145,peltatum,#9 20/6/09,ripe seed,1.5156,49.86,1.5547,39.1,10.76,
12/21/2017,51,peltatum,#9 20/6/09,unripe,13.39412,49.57,13.40618,12.06,37.51,
12/21/2017,52,peltatum,#1 30/6/09,unripe,13.34783,51.61,13.36204,14.21,37.4,
12/21/2017,53,peltatum,#3b,unripe,13.38411,49.19,13.39693,12.82,36.37,
1/4/2018,54,peltatum,#6 no date,unripe,0.26389,50.46,0.27428,10.39,40.07,
1/8/2018,95,reticulatum,#7 7/7/09,leaf,0.39609,51.42,0.41164,15.55,35.87,
1/8/2018,96,reticulatum,#11 7/7/09,leaf,0.31945,51.44,0.33478,15.33,36.11,
1/8/2018,97,reticulatum,#7 5/7/12,leaf,0.39276,51.24,0.408,15.24,36,
1/4/2018,61,reticulatum,#7 7/7/09,ripe,0.42411,49,0.44896,24.85,24.15,
1/4/2018,62,reticulatum,#11 7/7/09,ripe,0.4249,47.76,0.45085,25.95,21.81,
1/4/2018,63,reticulatum,#7 5/7/12,ripe,0.38032,49.55,0.40374,23.42,26.13,
4/27/2018,146,reticulatum,#7 5/7/12,ripe seed,1.5096,50.14,1.5485,38.9,11.24,
4/27/2018,147,reticulatum,#11 7/7/09,ripe seed,1.5197,50.16,1.5648,45.1,5.06,
4/27/2018,148,reticulatum,#7 7/7/09,ripe seed,1.5098,46.55,1.5497,39.9,6.65,
1/4/2018,58,reticulatum,#7 7/7/09,unripe,0.46693,51.38,0.48018,13.25,38.13,
1/4/2018,59,reticulatum,#11 7/7/09,unripe,0.39866,51.5,0.40763,8.97,42.53,
1/4/2018,60,reticulatum,#7 5/7/12,unripe,0.25106,50.66,0.26279,11.73,38.93,
1/8/2018,98,sancti-felicis,#1b 11/6/09,leaf,0.35369,48.98,0.36714,13.45,35.53,
1/8/2018,99,sancti-felicis,#1c 11/6/09,leaf,0.41702,51.29,0.43059,13.57,37.72,
1/8/2018,100,sancti-felicis,#3 5/17/12,leaf,0.47902,49.76,0.49292,13.9,35.86,
