"","CLUSTERID1","CLUSTERID2","DeltaMZ","MEH","Cosine","OtherScore","ComponentIndex"
"178","6135","8786",-68.167,0,0.728403,0.489742,1
"179","6371","8399",-48.021,0,0.804156,0.590445,1
"180","5247","7675",-364.365,0,0.669388,0.468882,1
"181","10033","12094",-216.003,0,0.636134,0.490455,1
"182","8337","10804",-126.015,0,0.794084,0.568443,1
"183","2780","9784",-221.004,0,0.640781,0.586486,1
"184","6823","8807",-55.038,0,0.676007,0.487178,1
"185","3942","11540",-332.282,0,0.700552,0.518055,1
"186","11495","12314",-141.135,0,0.663233,0.459165,1
"187","46","10804",-365.118,0,0.786214,0.585368,1
"188","2378","11494",-397.054,0,0.823996,0.624132,1
"189","2780","3697",-41.015,0,0.826883,0.63442,1
"190","3229","11992",-414.079,0,0.650759,0.443918,1
"191","2356","5469",-110.923,0,0.820483,0.584391,1
"192","7315","11660",-258.677,0,0.791702,0.691946,1
"193","2780","3699",-40.979,0,0.699311,0.494848,1
"194","3431","12382",-516.185,0,0.771941,0.520487,1
"195","10521","11255",-77.096,0,0.676459,0.445233,1
"196","2780","6968",-126.036,0,0.801101,0.5696,1
"197","10521","11250",-76.143,0,0.766126,0.572177,1
"198","33","3494",-121,0,0.791219,0.577317,1
"199","5756","12332",-423.064,0,0.836634,0.609359,1
"200","5333","9409",-116.059,0,0.660898,0.450093,1
"201","2300","11722",-416.349,0,0.806072,0.646795,1
"202","3178","5716",-81.072,0,0.629078,0.503063,1
"203","7722","11992",-289.976,0,0.645937,0.442458,1
"204","3782","4303",-13.989,0,0.792946,0.507104,1
"205","9352","9380",-2.021,0,0.709192,0.503534,1
"206","5730","6968",-23.09,0,0.690249,0.437347,1
"207","12382","12412",-15.977,0,0.923194,0.719469,1
"208","9057","10064",-46.004,0,0.780409,0.490721,1
"209","12314","12382",-22.958,0,0.7564,0.523626,1
"210","8399","12378",-380.082,0,0.782601,0.585041,1
"211","5918","11534",-273.177,0,0.788393,0.551675,1
"212","5469","9235",-101.08,0,0.627835,0.419892,1
"213","2786","11295",-350.055,0,0.783157,0.526226,1
"214","10863","12332",-234.096,0,0.732707,0.517175,1
"215","2780","11295",-351.045,0,0.719956,0.436436,1
"216","10802","12382",-259.023,0,0.784883,0.504462,1
"217","2342","12314",-541.231,0,0.671581,0.419551,1
"218","5918","6823",-16.14,0,0.639671,0.430228,1
"219","5469","7675",-356.252,0,0.731605,0.569165,1
"220","6548","8359",-43.057,0,0.818164,0.595684,1
