CLUSTERID1,CLUSTERID2,DeltaMZ,MEH,Cosine,OtherScore,ComponentIndex
779,3934,-106.988,0,0.657282,0.45709,6
779,3944,-107.95,0,0.663482,0.478293,6
779,3965,-108.69,0,0.625785,0.422774,6
779,4474,-339.051,0,0.749784,0.575495,6
779,4475,-339.051,0,0.629605,0.489822,6
779,4521,-120.019,0,0.626785,0.485867,6
779,4533,-121.023,0,0.762819,0.57314,6
779,4709,-124.993,0,0.751799,0.658624,6
779,4724,-125.958,0,0.665463,0.495337,6
779,4725,-355.023,0,0.636481,0.482699,6
779,4731,-126.015,0,0.626823,0.48712,6
779,4959,-372.033,0,0.627012,0.487416,6
779,5262,-142.063,0,0.713863,0.539951,6
779,5378,-145.509,0,0.631912,0.526162,6
779,5774,-162.102,0,0.603119,0.408997,6
779,6732,-180.115,0,0.715702,0.433663,6
779,6820,-181.118,0,0.677594,0.410711,6
779,6826,-182.025,0,0.756808,0.556787,6
779,6827,-181.997,0,0.703078,0.536242,6
779,7560,-197.961,0,0.653641,0.510459,6
779,8315,-540.111,0,0.758913,0.683003,6
779,8342,-541.113,0,0.771644,0.708356,6
779,8344,-542.115,0,0.762598,0.640105,6
779,8404,-220.052,0,0.715944,0.447677,6
779,8583,-554.087,0,0.612436,0.426885,6
779,8601,-555.087,0,0.662191,0.482799,6
779,8602,-556.083,0,0.785225,0.670923,6
779,8618,-557.085,0,0.763852,0.682078,6
779,8620,-227.03,0,0.76682,0.675991,6
779,8627,-559.091,0,0.610826,0.414427,6
779,9769,-277.091,0,0.708805,0.425098,6
779,10180,-306.108,0,0.766656,0.64049,6
779,10181,-306.108,0,0.652723,0.508631,6
779,10452,-742.189,0,0.815158,0.746976,6
779,10463,-743.175,0,0.788796,0.659367,6
779,10464,-743.175,0,0.712464,0.520528,6
779,10466,-744.179,0,0.795268,0.687716,6
779,10522,-322.082,0,0.76592,0.636241,6
779,10523,-322.082,0,0.645283,0.497107,6
779,10530,-323.086,0,0.64543,0.49963,6
779,10554,-327.077,0,0.659967,0.555993,6
779,10561,-328.06,0,0.744646,0.492384,6
779,10562,-760.149,0,0.648069,0.499416,6
779,11127,-860.273,0,0.73271,0.486794,6
779,11132,-861.275,0,0.710146,0.430365,6
779,11149,-384.052,0,0.765999,0.63356,6
779,11150,-384.053,0,0.645622,0.500085,6
779,11258,-400.022,0,0.723621,0.445523,6
779,11259,-400.024,0,0.645795,0.50268,6
780,1237,-17.026,0,0.769726,0.616444,107
780,2907,-62,0,0.696637,0.583335,107
780,6953,-183.053,0,0.707687,0.583232,107
780,7763,-205.035,0,0.741206,0.60052,107
780,11833,-470.132,0,0.807609,0.64927,107
781,795,-1.00301,0,0.84556,0.700005,95
781,1486,-19.99,0,0.788914,0.785617,95
781,5144,-140.047,0,0.641203,0.656493,95
781,5764,-162.029,0,0.605284,0.665826,95
783,2365,-40.031,0,0.684476,0.43904,6
783,3421,-85.029,0,0.874649,0.605179,6
787,787,0,1,1,1,-1
789,5629,-154.027,0,0.621148,0.478072,126
791,6153,-168.043,0,0.645991,0.593293,10
791,6215,-169.046,0,0.627428,0.592318,10
795,1486,-18.987,0,0.677671,0.692208,95
795,5144,-139.044,0,0.696216,0.682663,95
795,5260,-141.05,0,0.712083,0.716659,95
795,5715,-421.064,0,0.728284,0.828877,95
795,5764,-161.026,0,0.678333,0.689563,95
795,5791,-162.029,0,0.686571,0.799409,95
795,5822,-163.043,0,0.62693,0.621148,95
802,810,-1,0,0.664529,0.400181,27
802,3174,-72.954,0,0.66051,0.563214,27
802,3266,-73.955,0,0.655973,0.617295,27
802,3616,-88.932,0,0.651451,0.595133,27
802,3663,-90.956,0,0.730036,0.572517,27
802,4486,-113.982,0,0.744898,0.645942,27
802,4516,-114.985,0,0.671689,0.472231,27
802,4531,-115.981,0,0.6562,0.492192,27
802,6565,-172.062,0,0.713813,0.449777,27
804,3269,-73.959,0,0.601175,0.505719,1
804,3624,-88.931,0,0.678325,0.613751,1
805,810,-0.999001,0,0.723958,0.50886,27
805,811,-1.004,0,0.669723,0.511276,27
805,3279,-74.954,0,0.605001,0.533796,27
805,4179,-104.909,0,0.64056,0.472156,27
805,4531,-115.98,0,0.701519,0.54933,27
810,1506,-14.978,0,0.613853,0.445178,27
810,4486,-112.982,0,0.647719,0.453171,27
810,4516,-113.985,0,0.634802,0.410119,27
810,4531,-114.981,0,0.686711,0.495506,27
811,4381,-110.018,0,0.655431,0.611561,27
817,879,-1.979,0,0.883655,0.599535,4
817,1348,-11.07,0,0.801066,0.516469,4
817,1454,-12.975,0,0.812937,0.541209,4
817,1564,-16.966,0,0.850284,0.582234,4
817,2002,-28.003,0,0.826433,0.516491,4
817,2139,-29.974,0,0.824469,0.511822,4
